event.id,investigation.type,accident.number,event.date,location,country,injury.severity,aircraft.damage,aircraft.category,registration.number,make,model,amateur.built,far.description,total.fatal.injuries,total.serious.injuries,total.minor.injuries,total.uninjured,publication.date,total_passengers,fatal_serious_fraction,is_destroyed,make_model
20190818X03942,Accident,WPR19LA223,2019-08-17,"Ruidoso, NM",United States,Non-Fatal,Substantial,Airplane,N5410D,beech,35,No,091,0.0,0.0,2.0,0.0,26-09-2020,2.0,0.0,0,beech_35
20190818X75840,Accident,ERA19FA249,2019-08-17,"Lagrangeville, NY",United States,Fatal,Destroyed,Airplane,N303TL,cessna,t303,No,091,1.0,0.0,2.0,0.0,10-11-2021,3.0,0.3333333333333333,1,cessna_t303
20190821X22448,Incident,ENG19WA032,2019-08-17,"Nassau, Bahamas",Bahamas,,Unknown,Airplane,N335NW,airbus,a320,No,121,0.0,0.0,0.0,0.0,26-09-2020,0.0,0.0,0,airbus_a320
20200521X34950,Accident,CEN19WA341,2019-08-17,"Ravna Gora, Croatia",Croatia,Non-Fatal,Unknown,Airplane,9A-DMI,cessna,150,No,NUSN,0.0,0.0,0.0,2.0,26-09-2020,2.0,0.0,0,cessna_150
20190818X02829,Accident,ERA19FA250,2019-08-18,"Wilmington, DE",United States,Fatal,Substantial,Airplane,N678DM,beech,95b55,No,091,2.0,0.0,0.0,0.0,24-06-2021,2.0,1.0,0,beech_95b55
20190818X23637,Accident,ANC19LA046,2019-08-18,"Lahaina, HI",United States,Non-Fatal,Substantial,Airplane,N879MA,cessna,208b,No,135,0.0,0.0,0.0,10.0,04-11-2021,10.0,0.0,0,cessna_208b
20190818X24815,Accident,GAA19CA498,2019-08-18,"Daytona Beach, FL",United States,Non-Fatal,Substantial,Airplane,N408ER,cessna,172,No,091,0.0,0.0,0.0,2.0,26-09-2020,2.0,0.0,0,cessna_172
20190818X33245,Accident,CEN19FA271,2019-08-18,"Hopedale, LA",United States,Fatal,Destroyed,Airplane,N5364Q,cessna,u206,No,091,1.0,0.0,2.0,0.0,26-09-2020,3.0,0.3333333333333333,1,cessna_u206
20190819X52614,Incident,DCA19WA201,2019-08-18,"Ponta Delgada, Portugal",Portugal,Non-Fatal,Minor,Airplane,N543US,boeing,757,No,121,0.0,0.0,0.0,159.0,26-09-2020,159.0,0.0,0,boeing_757
20190819X13655,Accident,GAA19CA496,2019-08-19,"Regina, NM",United States,Non-Fatal,Substantial,Airplane,N6588X,cessna,tu206,No,091,0.0,0.0,0.0,3.0,26-09-2020,3.0,0.0,0,cessna_tu206
20190819X52009,Accident,WPR19LA227,2019-08-19,"Spokane, WA",United States,Non-Fatal,Substantial,Airplane,N43793,piper,pa28r,No,091,0.0,0.0,0.0,1.0,26-09-2020,1.0,0.0,0,piper_pa28r
20190819X62641,Accident,GAA19CA501,2019-08-19,"Fairbanks, AK",United States,Non-Fatal,Substantial,Airplane,N87010,champion,7gcbc,No,091,0.0,0.0,0.0,1.0,26-09-2020,1.0,0.0,0,champion_7gcbc
20190819X74817,Accident,ERA19FA251,2019-08-19,"Tappahannock, VA",United States,Non-Fatal,Substantial,Airplane,N621JE,cirrus,sr22,No,091,0.0,0.0,1.0,0.0,26-09-2020,1.0,0.0,0,cirrus_sr22
20200324X12359,Incident,ENG19WA044,2019-08-19,"Guwahati, India",India,,Unknown,Airplane,VT-IVO,airbus,a320,No,NUSC,0.0,0.0,0.0,0.0,26-09-2020,0.0,0.0,0,airbus_a320
20190820X13813,Accident,WPR19LA237,2019-08-20,"Eugene, OR",United States,Non-Fatal,Substantial,Airplane,N501SF,cessna,t210,No,091,0.0,0.0,0.0,1.0,26-09-2020,1.0,0.0,0,cessna_t210
20190820X15859,Accident,CEN19FA278,2019-08-20,"Hays, KS",United States,Fatal,Destroyed,Airplane,N3631Z,grumman,g164,No,137,1.0,0.0,0.0,0.0,26-09-2020,1.0,1.0,1,grumman_g164
20190820X22547,Accident,CEN19FA279,2019-08-20,"Howell, MI",United States,Fatal,Substantial,Airplane,N200HS,aero.commander,200,No,091,2.0,0.0,0.0,0.0,29-09-2021,2.0,1.0,0,aero.commander_200
20190820X31500,Accident,GAA19CA517,2019-08-20,"Arlington, WA",United States,Non-Fatal,Substantial,Airplane,N180TB,cessna,180,No,091,0.0,1.0,0.0,0.0,26-09-2020,1.0,1.0,0,cessna_180
20190821X63912,Accident,ERA19LA252,2019-08-20,"East Brady, PA",United States,Non-Fatal,Substantial,Airplane,N90AP,piper,pa.31p,No,091,0.0,0.0,0.0,1.0,26-09-2020,1.0,0.0,0,piper_pa.31p
20190918X14853,Incident,DCA19WA217,2019-08-20,"Cape Town, South Africa",South Africa,,Minor,Airplane,ZS-JRM,boeing,737,No,NUSC,0.0,0.0,0.0,0.0,26-09-2020,0.0,0.0,0,boeing_737
20190820X13940,Accident,WPR19LA238,2019-08-21,"Half Moon Bay, CA",United States,Non-Fatal,Destroyed,Airplane,N134P,beech,36,No,091,0.0,0.0,0.0,2.0,26-09-2020,2.0,0.0,1,beech_36
20190821X63931,Accident,WPR19FA230,2019-08-21,"Oroville, CA",United States,Non-Fatal,Destroyed,Airplane,N91GY,cessna,560xl,No,135,0.0,0.0,0.0,10.0,26-09-2020,10.0,0.0,1,cessna_560xl
20190821X65920,Accident,WPR19LA233,2019-08-21,"Livermore, CA",United States,Non-Fatal,Substantial,Airplane,N4237N,cessna,120,No,091,0.0,0.0,1.0,0.0,26-09-2020,1.0,0.0,0,cessna_120
20190821X74823,Accident,CEN19LA281,2019-08-21,"Grand Rapids, MN",United States,Non-Fatal,Substantial,Airplane,N647C,stinson,108,No,091,0.0,1.0,0.0,0.0,02-02-2021,1.0,1.0,0,stinson_108
20190822X70303,Accident,ERA19LA255,2019-08-21,"Tampa, FL",United States,Non-Fatal,Substantial,Airplane,N2299F,cessna,310,No,091,0.0,0.0,0.0,1.0,26-09-2020,1.0,0.0,0,cessna_310
20190822X02939,Accident,GAA19CA507,2019-08-22,"Anchorage, AK",United States,Non-Fatal,Substantial,Airplane,N9096E,maule,m5,No,091,0.0,0.0,0.0,2.0,26-09-2020,2.0,0.0,0,maule_m5
20190822X34227,Accident,GAA19CA508,2019-08-22,"Hemet, CA",United States,Non-Fatal,Substantial,Airplane,N16435,piper,pa28,No,091,0.0,0.0,0.0,1.0,26-09-2020,1.0,0.0,0,piper_pa28
20190822X45548,Accident,ERA19LA257,2019-08-22,"Burnsville, NC",United States,Non-Fatal,Substantial,Airplane,N404PE,cirrus,sr22,No,091,0.0,0.0,0.0,2.0,26-09-2020,2.0,0.0,0,cirrus_sr22
20190822X70115,Accident,GAA19CA513,2019-08-22,"Rangeley Lake, ME",United States,Non-Fatal,Substantial,Airplane,N1920Q,cessna,a185,No,091,0.0,2.0,0.0,0.0,26-09-2020,2.0,1.0,0,cessna_a185
20190822X81045,Accident,GAA19CA505,2019-08-22,"Oxford, FL",United States,Non-Fatal,Substantial,Airplane,N331AV,pipistrel,sinus.912,No,091,0.0,0.0,0.0,1.0,26-09-2020,1.0,0.0,0,pipistrel_sinus.912
20190823X02636,Accident,CEN19WA282,2019-08-22,"Diepholz, Germany",Germany,Fatal,Destroyed,Airplane,D-EHLG,cessna,150,No,UNK,1.0,0.0,0.0,0.0,26-09-2020,1.0,1.0,1,cessna_150
20190826X03209,Accident,CEN19WA284,2019-08-22,"Schneizlreuth, Germany",Germany,Fatal,Destroyed,Airplane,D-ECSC,reims,f172,No,NUSN,1.0,0.0,0.0,0.0,26-09-2020,1.0,1.0,1,reims_f172
20190824X03850,Accident,ERA19LA258,2019-08-23,"Hobe Sound, FL",United States,Non-Fatal,Substantial,Airplane,N80WH,beech,f33,No,091,0.0,0.0,0.0,3.0,26-09-2020,3.0,0.0,0,beech_f33
20190910X71543,Accident,GAA19WA532,2019-08-23,"Warintza, Morona Santiago, Spain",Spain,Fatal,Destroyed,Airplane,HC-CJN,cessna,182,No,NUSN,4.0,0.0,0.0,0.0,26-09-2020,4.0,1.0,1,cessna_182
20190918X60653,Accident,GAA19CA557,2019-08-23,"Fort Myers, FL",United States,Non-Fatal,Substantial,Airplane,N9422S,beech,35,No,091,0.0,0.0,0.0,2.0,26-09-2020,2.0,0.0,0,beech_35
20190826X15332,Accident,GAA19CA510,2019-08-24,"Waco, TX",United States,Non-Fatal,Substantial,Airplane,N173JE,american.legend.aircraft.co,al3c,No,091,0.0,0.0,0.0,2.0,26-09-2020,2.0,0.0,0,american.legend.aircraft.co_al3c
